#StationName;Latitude;Longitude;Height;
GOLD00USA;35.425;-116.889;987.097;
GOP600CZE;49.914;14.786;593.033;
GOP700CZE;49.914;14.786;593.035;
GOPE00CZE;49.914;14.786;593.038;
GRAC00FRA;43.754;6.921;1320.227;
GRAS00FRA;43.755;6.921;1319.745;
GRAZ00AUT;47.067;15.493;538.718;
GUAM00GUM;13.589;144.868;202.317;
GUAT00GTM;14.59;-90.52;1520.277;
GUUG00USA;13.433;144.803;135.139;
HAL100USA;20.707;-156.256;3073.251;
HAMD00IRN;34.869;48.534;1751.356;
HARB00ZAF;-25.887;27.707;1558.489;
HERS00GBR;50.867;0.336;76.927;
HERT00GBR;50.867;0.334;83.77;
HKSL00HKG;22.372;113.928;95.712;
HKWS00HKG;22.434;114.335;64.197;
HLFX00CAN;44.684;-63.611;3.546;
HNLC00USA;21.303;-157.865;22.61;
HNPT00USA;38.589;-76.13;-27.545;
HNUS00ZAF;-34.425;19.223;63.459;
HOB200AUS;-42.805;147.439;41.459;
HOFN00ISL;64.267;-15.198;82.741;
HOLB00CAN;50.64;-128.135;560.021;
HOLM00CAN;70.736;-117.761;39.951;
HOLP00USA;33.925;-118.168;-6.29;
HRAG00ZAF;-25.89;27.685;1407.788;
HRAO00ZAF;-25.89;27.687;1414.744;
HUEG00DEU;47.834;7.596;278.745;
HYDE00IND;17.417;78.551;442.11;
IENG00ITA;45.015;7.639;317.049;
IISC00IND;13.021;77.57;844.117;
IITK00IND;26.521;80.232;72.106; {})
INEG00MEX;21.856;-102.284;1888.498;
INVK00CAN;68.306;-133.527;46.813;
IQAL00CAN;63.756;-68.51;92.142;
IQQE00CHL;-20.274;-70.132;39.003;
IRKJ00RUS;52.219;104.316;502.409;
IRKM00RUS;52.219;104.316;502.752;
ISBA00IRQ;33.341;44.438;72.791;
ISHI00JPN;36.209;140.219;156.249;
ISPA00CHL;-27.125;-109.344;112.906;
ISTA00TUR;41.104;29.019;147.665;
IZMI00TUR;38.395;27.082;75.322;
JCTW00ZAF;-33.951;18.469;84.013;
JDPR00IND;26.206;73.024;167.703; {})
JFNG00CHN;30.516;114.491;71.739;
JNAV00VNM;21.005;105.844;35.275;
JOG200IDN;-7.764;110.372;174.776;
JOZ200POL;52.098;21.032;152.696;
JOZE00POL;52.097;21.032;141.834;
JPLM00USA;34.205;-118.173;424.456;
JPRE00ZAF;-25.732;28.283;1387.738;
KARR00AUS;-20.981;117.097;109.543;
KAT100AUS;-14.376;132.153;184.691;
KERG00ATF;-49.351;70.256;73.049;
KGNI00JPN;35.71;139.488;123.949;
KHAR00UKR;50.005;36.239;201.447;
KIR000SWE;67.878;21.06;498.413;
KIR800SWE;67.878;21.06;498.43;
KIRI00KIR;1.355;172.923;36.59;
KIRU00SWE;67.857;20.968;391.348;
KIT300UZB;39.135;66.885;623.025;
KITG00UZB;39.133;66.887;621.054;
KMNM00TWN;24.464;118.389;49.493;
KOKB00USA;22.126;-159.665;1167.93;
KOKV00USA;22.126;-159.665;1167.93;
KOS100NLD;52.173;5.818;105.235;
KOST00KAZ;53.225;63.608;159.701;
KOUC00NCL;-20.559;164.287;84.58;
KOUG00GUF;5.098;-52.64;106.614;
KOUR00GUF;5.252;-52.806;-25.362;
KRGG00ATF;-49.352;70.256;73.4;
KRS100TUR;40.588;43.093;1812.124;
KSU100USA;39.101;-96.609;326.013;
KUJ200CAN;55.29;-77.735;9.074;
KZN200RUS;55.791;49.119;94.113;
LAE100PNG;-6.674;146.993;140.728;
LAMA00POL;53.892;20.67;187.09;
LAUT00FJI;-17.609;177.447;90.074;
LBCH00USA;33.788;-118.203;-27.167;
LCK300IND;26.912;80.956;64.576;
LCK400IND;26.912;80.956;64.594;
LEIJ00DEU;51.354;12.374;178.861;
LHAZ00CHN;29.657;91.104;3646.671;
LICC00GBR;51.5;-0.175;89.084;
LLAG00ESP;28.482;-16.321;623.236;
LMMF00MTQ;14.595;-60.996;-26.566;
LPAL00ESP;28.764;-17.894;2207.444;
LPGS00ARG;-34.907;-57.932;30.286;
LROC00FRA;46.159;-1.219;58.323;
M0SE00ITA;41.893;12.493;120.979;
MAC100AUS;-54.5;158.936;-6.259;
MAD200ESP;40.429;-4.25;829.885;
MADR00ESP;40.429;-4.25;829.879;
MAG000RUS;59.576;150.77;362.368;
MAJU00MHL;7.119;171.365;34.252;
MAL200KEN;-2.996;40.194;-20.507;
MANA00NIC;12.149;-86.249;71.444;
MAR600SWE;60.595;17.259;75.818;
MAR700SWE;60.595;17.258;74.701;
MARS00FRA;43.279;5.354;62.162;
MAS100ESP;27.764;-15.633;197.57;
MAT100ITA;40.649;16.705;534.947;
MATE00ITA;40.649;16.704;536.072;
MATG00ITA;40.649;16.705;537.424;
MAUI00USA;20.707;-156.257;3062.426;
MAW100ATA;-67.605;62.871;59.633;
MAYG00MYT;-12.782;45.258;-15.947;
MBAR00UGA;-0.601;30.738;1338.053;
MCHL00AUS;-26.359;148.145;534.992;
MCIL00JPN;24.29;153.979;36.073;
MCM400ATA;-77.838;166.669;98.476;
MDO100USA;30.681;-104.015;2004.891;
MDVJ00RUS;56.021;37.215;257.815;
MEDI00ITA;44.52;11.647;50.471;
MELI00ESP;35.281;-2.952;93.899;
MERS00TUR;36.566;34.256;38.89;
MET300FIN;60.217;24.395;79.624;
METG00FIN;60.242;24.384;60.098;
METS00FIN;60.217;24.395;95.01;
MFKG00ZAF;-25.805;25.54;1311.294;
MGUE00ARG;-35.777;-69.398;1554.141;
MIKL00UKR;46.973;31.973;95.132;
MIZU00JPN;39.135;141.133;117.427;
MKEA00USA;19.801;-155.456;3755.067;
MOBJ00RUS;55.115;36.57;183.046;
MOBK00RUS;55.115;36.57;183.046;
MOBN00RUS;55.115;36.57;183.066;
MOBS00AUS;-37.829;144.975;40.989;
MOIU00KEN;0.288;35.29;2201.932;
MONP00USA;32.892;-116.422;1842.957;
MORP00GBR;55.213;-1.685;144.893;
MQZG00NZL;-43.703;172.655;155.125;
MRC100USA;38.499;-77.371;27.622;
MRL100NZL;-41.576;173.741;147.652;
MRL200NZL;-41.576;173.741;147.652;
MRO100AUS;-26.697;116.637;354.463;
MSSA00JPN;36.14;138.352;1626.837;
MTKA00JPN;35.68;139.561;109.432;
MTV100URY;-34.914;-56.176;41.138;
MTV200URY;-34.914;-56.176;41.138;
NABG00NOR;78.943;11.857;43.362;
NAIN00CAN;56.537;-61.689;33.925;
NANO00CAN;49.295;-124.086;6.989;
NAUR00NRU;-0.552;166.926;46.678;
NCKU00TWN;22.997;120.223;98.625;
NICO00CYP;35.141;33.396;192.145;
NIST00USA;39.995;-105.263;1648.912;
NIUM00NIU;-19.077;-169.927;90.527;
NKLG00GAB;0.354;9.672;31.89;
NLIB00USA;41.772;-91.575;207.467;
NNOR00AUS;-31.049;116.193;235.248;
NOT100ITA;36.876;14.99;126.657;
NOVM00RUS;55.031;82.909;150.418;
NRC100CAN;45.454;-75.624;82.907;
NRIL00RUS;69.362;88.36;48.343;
NRMD00NCL;-22.228;166.485;160.792; {})
NTUS00SGP;1.346;103.68;78.867;
NVSK00RUS;54.841;83.235;124.08;
NYA100NOR;78.93;11.865;84.13;
NYA200NOR;78.93;11.859;81.914;
NYAL00NOR;78.93;11.865;79.443;
OAK100GBR;51.118;-0.905;140.081;
OAK200GBR;51.118;-0.905;140.081;
OBE400DEU;48.085;11.278;650.987;
OHI200ATA;-63.321;-57.901;33.594;
OHI300ATA;-63.321;-57.901;32.674;
ONS100SWE;57.395;11.925;44.858;
ONSA00SWE;57.395;11.926;45.974;
OP7100FRA;48.836;2.335;124.987;
OPMT00FRA;48.836;2.335;123.015;
ORID00MKD;41.127;20.794;773.417;
OSN300KOR;37.083;127.034;64.863;
OSN400KOR;37.083;127.034;64.863;
OUS200NZL;-45.869;170.511;26.545;
OWMG00NZL;-44.024;-176.369;22.027;
P04300USA;43.881;-104.186;1491.36;
P05100USA;45.807;-108.546;1081.527;
P05300USA;48.726;-107.725;815.419;
P38900USA;43.812;-120.603;1398.318;
P80200USA;46.558;-100.623;573.53;
PADO00ITA;45.411;11.896;65.126;
PALM00ATA;-64.775;-64.051;31.685;
PARC00CHL;-53.137;-70.88;22.725;
PARK00AUS;-32.999;148.265;397.79;
PDEL00PRT;37.748;-25.663;111.18;
PENC00HUN;47.79;19.282;292.144;
PERT00AUS;-31.802;115.885;13.08;
PETS00RUS;53.023;158.65;102.604;
PGEN00PHL;6.065;125.132;121.487;
PICL00CAN;51.48;-90.162;315.531;
PIE100USA;34.302;-108.119;2348.129;
PIMO00PHL;14.636;121.078;95.936;
PIN100USA;33.612;-116.458;1256.573;
PNGM00PNG;-2.043;147.366;116.751;
POAL00BRA;-30.074;-51.12;77.155;
POHN00FSM;6.96;158.21;91.101;
POL200KGZ;42.68;74.694;1714.63;
POLV00UKR;49.603;34.543;178.551;
POTS00DEU;52.379;13.066;144.853;
POVE00BRA;-8.709;-63.896;119.975;
PPPC00PHL;9.773;118.74;66.93;
PRDS00CAN;50.871;-114.293;1248.373;
PRE300ZAF;-25.746;28.224;1414.248;
PRE400ZAF;-25.746;28.224;1414.248;
PTAG00PHL;14.535;121.041;87.054;
PTBB00DEU;52.296;10.46;130.681;
PTGG00PHL;14.535;121.041;87.347;
PTVL00VUT;-17.749;168.315;86.846;
QAQ100GRL;60.715;-46.048;110.835;
QIKI00CAN;67.559;-64.034;13.718;
QUI300ECU;-0.14;-78.467;2927.924;
QUI400ECU;-0.14;-78.467;2927.924;
QUIN00USA;39.975;-120.944;1106.188;
RABT00MAR;33.998;-6.854;90.539;
RAEG00PRT;36.986;-25.126;298.32;
RAMO00ISR;30.598;34.763;893.501;
RBAY00ZAF;-28.796;32.078;32.206;
RDSD00DOM;18.461;-69.911;-8.803;
REDU00BEL;50.002;5.145;370.327;
RESO00CAN;74.691;-94.893;35.359;
REUN00REU;-21.208;55.572;1558.807;
REYK00ISL;64.139;-21.955;93.54;
RGDG00ARG;-53.786;-67.752;32.8;
RIGA00LVA;56.949;24.059;35.155;
RIO200ARG;-53.785;-67.751;32.477;
RIOP00ECU;-1.651;-78.651;2793.4;
ROAG00ESP;36.463;-6.206;83.661;
ROCK00USA;34.236;-118.676;553.811;
ROTH00ATA;-67.571;-68.126;40.632;
SALU00BRA;-2.593;-44.212;19.353;
SAMO00WSM;-13.849;-171.738;77.285;
SANT00CHL;-33.15;-70.669;723.491;
SASK00CAN;52.196;-106.398;579.01;
SAVO00BRA;-12.939;-38.432;76.704;
SBOK00ZAF;-29.669;17.879;1043.489;
SCH200CAN;54.832;-66.833;498.624;
SCIP00USA;32.914;-118.488;453.29;
SCOR00GRL;70.485;-21.95;128.94;
SCRZ00BOL;-17.797;-63.16;442.51;
SCTB00ATA;-77.849;166.758;-18.45;
SCUB00CUB;20.012;-75.762;21.436;
SEJN00KOR;36.522;127.303;181.627;
SEME00KAZ;50.433;80.266;180.644;
SEY200SYC;-4.674;55.479;539.216;
SEYG00SYC;-4.679;55.531;-37.238;
SFDM00USA;34.46;-118.755;291.939;
SFER00ESP;36.464;-6.206;84.563;
SGOC00LKA;6.892;79.874;-78.095;
SGPO00USA;36.604;-97.485;290.586;
SHAO00CHN;31.1;121.2;22.505;
SHE200CAN;46.221;-64.552;-14.866;
SIN100SGP;1.343;103.679;92.943;
SMST00JPN;33.578;135.937;97.953;
SNI100USA;33.248;-119.524;240.089;
SOD300FIN;67.421;26.389;301.294;
SOFI00BGR;42.556;23.395;1120.009;
SOLO00SLB;-9.435;159.954;123.225;
SPK100USA;34.059;-118.646;440.546;
SPT000SWE;57.715;12.891;220.344;
SPTU00BRA;-21.929;-50.492;509.182;
SSIA00SLV;13.697;-89.116;664.835;
STFU00USA;37.427;-122.173;20.834;
STHL00GBR;-15.943;-5.667;453.695;
STJ300CAN;47.595;-52.678;154.946;
STJO00CAN;47.595;-52.678;153.238;
STK200JPN;43.529;141.845;118.965;
STPM00SPM;46.778;-56.168;0.903;
STR100AUS;-35.316;149.01;800.342;
STR200AUS;-35.316;149.01;802.884;
SULP00UKR;49.836;24.014;370.957;
SUTH00ZAF;-32.38;20.81;1800.182;
SUTM00ZAF;-32.381;20.811;1798.017;
SUWN00KOR;37.276;127.054;84.353;
SVTL00RUS;60.533;29.781;77.227;
SYDN00AUS;-33.781;151.15;85.987;
SYOG00ATA;-69.007;39.584;50.539;
TABL00USA;34.382;-117.678;2228.447;
TANA00ETH;11.569;37.329;1851.365;
TASH00UZB;41.328;69.296;440.123;
TCMS00TWN;24.798;120.987;77.67;
TDOU00ZAF;-23.08;30.384;630.627;
TEHN00IRN;35.697;51.334;1194.993;
